Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0t3pcqgBjuAVBgY2oEUIlH,"It Depends (feat. Bryson Tiller)","It Depends (feat. Bryson Tiller)","Chris Brown;Bryson Tiller",2025-07-25,271875,76,true,,2025-12-12T22:58:23Z,"r&b,trap soul","Chris Brown Entertainment/RCA Records",0.66,0.466,1,-7.9,1,0.0495,0.0238,0,0.0747,0.363,136.034,4
spotify:track:3hkPqNU4lUd8A3smxWMLEY,"HOLLYWOOD","HOLLYWOOD","YG;Shoreline Mafia;OHGEESY;Fenix Flexin",2025-05-23,180380,69,true,,2025-11-28T21:59:07Z,"","BMG Rights Management (US) LLC",0.959,0.864,1,-6.308,1,0.282,0.19,0,0.118,0.791,106.498,4
spotify:track:51hjlwiTLAHZxkKS28R38R,"GEEKALEEK (feat. BIA)","GEEKALEEK (feat. BIA)","OHGEESY;BIA",2023-04-21,128000,53,true,,2025-11-08T05:27:51Z,"","Atlantic Records",0.856,0.513,2,-7.912,1,0.0605,0.0109,0.00000396,0.139,0.174,105.064,4
spotify:track:7g7M96UGiA7OR79H86gV4m,"U and Dat (feat. T. Pain & Kandi Girl)","My Ghetto Report Card","E-40;T-Pain;Kandi Girl",2006-03-14,202720,68,true,,2025-08-21T21:37:09Z,"hyphy,west coast hip hop,g-funk","Reprise",0.858,0.484,6,-7.448,0,0.277,0.0241,0.0000018,0.123,0.329,99.992,4
spotify:track:3zDxEleBsfgnhsPbefb10E,"The Method","The Method","Lecrae;Miles Minnick;E-40",2025-05-15,196557,28,false,,2025-07-28T12:09:15Z,"christian hip hop,christian,christian r&b,christian pop,rap chrétien,chinese hip hop,hyphy,west coast hip hop,g-funk","Reach Records",0.752,0.791,5,-4.952,0,0.207,0.0483,0,0.28,0.643,103.948,4
spotify:track:0fgZUSa7D7aVvv3GfO0A1n,"Post to Be (feat. Chris Brown & Jhene Aiko)","Sex Playlist","Omarion;Chris Brown;Jhené Aiko",2014-12-02,226580,71,true,,2025-06-24T12:40:24Z,"r&b","MMG/Atlantic",0.733,0.676,10,-5.655,0,0.0432,0.0697,0,0.208,0.701,97.448,4
spotify:track:4ea9w8c4ROqiZpJVhfBA3m,"Hot (Remix) [feat. Gunna and Travis Scott]","So Much Fun (Deluxe)","Young Thug;Travis Scott;Gunna",2019-12-20,279906,73,true,,2025-04-11T03:11:28Z,"rap,trap,melodic rap","300 Entertainment/Atl",0.845,0.631,7,-8.206,0,0.216,0.188,0,0.0806,0.545,111.983,4
spotify:track:6WzRpISELf3YglGAh7TXcG,"Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)","Popular (Music from the HBO Original Series)","The Weeknd;Playboi Carti;Madonna",2023-06-02,215466,83,true,,2025-03-21T09:58:53Z,"rage rap","XO / Republic Records",0.854,0.674,1,-6.23,1,0.184,0.0517,0.0000853,0.509,0.848,99.022,4
spotify:track:0kdqcbwei4MDWFEX5f33yG,"Bling-Bang-Bang-Born","Bling-Bang-Bang-Born","Creepy Nuts",2024-01-07,168135,75,false,,2024-12-31T20:32:29Z,"anime,j-pop,j-rap","Sony Music Labels Inc.",0.853,0.822,6,-6.836,0,0.246,0.0841,0.00985,0.166,0.746,157.013,4
spotify:track:0aB0v4027ukVziUGwVGYpG,"tv off (feat. lefty gunplay)","GNX","Kendrick Lamar;Lefty Gunplay",2024-11-22,220690,85,true,,2024-12-01T04:05:02Z,"hip hop,west coast hip hop,mexican hip hop","pgLang, under exclusive license to Interscope Records",0.855,0.529,6,-6.679,0,0.263,0.0837,0,0.423,0.548,100.036,4
spotify:track:0nj9Bq5sHDiTxSHunhgkFb,"squabble up","GNX","Kendrick Lamar",2024-11-22,157992,80,true,,2024-11-27T21:49:37Z,"hip hop,west coast hip hop","pgLang, under exclusive license to Interscope Records",0.874,0.672,0,-5.568,1,0.198,0.0206,0,0.0783,0.711,103.921,4
spotify:track:7w4vDANlj1P5aitwEKYBWg,"Kijutsushi no Baire","HUNTER x HUNTER Original Soundtrack","Yoshihisa Hirano",2012-01-25,66960,47,false,,2024-11-06T19:06:35Z,"anime,soundtrack","VAP",0.734,0.724,7,-11.339,0,0.0398,0.679,0.842,0.258,0.85,116.985,3
spotify:track:4gXdMZkBN1neE9nX6yRALa,"Ass Like That","Encore (Deluxe Version)","Eminem",2004-11-12,265480,67,true,,2024-10-19T02:00:44Z,"rap,hip hop","Eminem Catalog PS",0.646,0.796,2,-6.152,1,0.366,0.409,0,0.107,0.676,83.093,4
spotify:track:7cyBdix7HId2onf99SrJBV,"Church (feat. Teddy Verseti)","Epiphany (Expanded Edition)","T-Pain;Teddy Verseti",2007-06-05,241773,67,true,,2024-10-06T02:31:22Z,"","Jive/Legacy",0.792,0.829,5,-5.346,0,0.118,0.0669,0.00000746,0.32,0.963,80.014,4
spotify:track:79s5XnCN4TJKTVMSmOx8Ep,"Dior","Meet The Woo","Pop Smoke",2019-07-26,216386,77,true,,2024-09-25T04:40:39Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide/Republic Records",0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,4
spotify:track:42VsgItocQwOQC3XWZ8JNA,"FE!N (feat. Playboi Carti)","UTOPIA","Travis Scott;Playboi Carti",2023-07-28,191700,84,true,,2024-09-03T05:32:05Z,"rap,rage rap","Cactus Jack/Epic",0.569,0.882,3,-2.777,0,0.06,0.0316,0,0.142,0.201,148.038,4
spotify:track:2lPE6W6ONJKmBE6hLjpIYo,"Zeus (feat. White Gold)","Music To Be Murdered By - Side B (Deluxe Edition)","Eminem;White Gold",2020-12-18,230398,61,true,,2024-08-11T02:04:29Z,"rap,hip hop","Shady/Aftermath/Interscope Records",0.783,0.586,11,-8.068,0,0.204,0.159,0,0.389,0.312,177.024,4
spotify:track:0nXgBBZFVdumUIaxszDm1p,"Fuck It Up (feat. YG)","A Good Night in the Ghetto","Kamaiyah;YG",2016-03-23,141844,62,true,,2024-07-04T20:50:14Z,"hyphy","Kamaiyah",0.634,0.668,0,-7.369,1,0.0689,0.432,0,0.552,0.435,97.998,4
spotify:track:67ncKGqScuJdNUN6bTqclA,"Yiken (Certified)","Yiken (Certified) - Single","Priceless Da Roc",2013-08-13,198963,42,true,,2024-05-23T00:13:33Z,"hyphy","T.P.E.",0.803,0.577,2,-7.823,1,0.0433,0.326,0.000481,0.302,0.605,102.107,4
spotify:track:6AI3ezQ4o3HUoP6Dhudph3,"Not Like Us","Not Like Us","Kendrick Lamar",2024-05-04,274192,88,true,,2024-05-16T11:57:33Z,"hip hop,west coast hip hop","Kendrick Lamar, under exclusive license to Interscope Records",0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
spotify:track:4UvkQecqZuZfQIJ2DZrZcR,"Doomsday (with Juice WRLD & Cordae)","All Is Yellow","Lyrical Lemonade;Juice WRLD;Cordae",2024-01-26,150967,58,true,,2024-04-10T17:40:43Z,"melodic rap,emo rap","Lyrical Lemonade P&D/ Def Jam",0.73,0.703,1,-3.893,1,0.211,0.0696,0,0.316,0.853,93.211,4
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,"Superhero (Heroes & Villains) [with Future & Chris Brown]","HEROES & VILLAINS","Metro Boomin;Future;Chris Brown",2022-12-02,182666,79,true,,2024-03-08T15:40:19Z,"rap,r&b","Republic Records",0.709,0.583,5,-5.298,0,0.204,0.138,0.00000297,0.195,0.533,116.624,4
spotify:track:5Q2Y3pi5JJmMkRzSaavdWR,"Function - Remix","Function (Remix)","E-40;JasonMartin;Chris Brown;French Montana;Red Cafe;Jeezy",2012-03-23,385450,0,true,,2024-02-23T05:56:28Z,"hyphy,west coast hip hop,g-funk,r&b,southern hip hop,crunk,rap,gangster rap","Heavy On The Grind",0.766,0.721,1,-4.352,0,0.264,0.00277,0,0.127,0.459,100.085,4
