Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7uxXSaN7ZuirPNQbxX7JoW,"La Danza de la Chancaca","La Danza de la Chancaca","Grupo Niche",2005-07-02,360294,31,false,,2026-02-13T05:29:19Z,"salsa,merengue","Grupo Niche",0.688,0.837,1,-7.003,1,0.0658,0.42,0.00000252,0.0468,0.914,98.006,4
spotify:track:4z4PB23xYTg1oANmyZovsw,"Why Can't I?","Liz Phair","Liz Phair",2003-01-01,208360,60,true,,2026-01-29T04:37:07Z,"","Capitol Records",0.487,0.759,11,-4.849,1,0.0405,0.0273,0,0.165,0.227,80.958,4
spotify:track:6GG73Jik4jUlQCkKg9JuGO,"The Middle","Bleed American","Jimmy Eat World",2001-07-17,165853,81,false,,2026-01-29T04:33:54Z,"emo,pop punk","Interscope",0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,4
spotify:track:3gOckpOyKtQzYqOwkgIs2q,"Just Let Me Cry","Freaky Friday","Ashlee Simpson",2003-01-01,165480,28,false,,2026-01-28T04:07:38Z,"bubblegum pop","Hollywood Records",0.614,0.873,7,-6.302,1,0.0914,0.00198,0.000011,0.0896,0.811,167.04,4
spotify:track:75BN9EZLtqRVX9W1zPsK2Z,"Me Diste De Tu Agua - En Vivo","Clasicos En Vivo","Luisito Carrion",2006-11-16,264515,30,false,,2026-01-19T19:44:09Z,"salsa,timba","Codiscos",0.704,0.825,1,-4.432,1,0.043,0.102,0.000286,0.177,0.879,92.316,4
spotify:track:5Ra8A39dMLyivqwW21fXBr,"Chaca Chaca","Chaca Chaca","Maykel Blanco Y Su Salsa Mayor",2017-08-11,236826,40,false,,2026-01-19T19:43:19Z,"timba,salsa,son cubano","Planet Records [Powered by Planet Distribution]",0.769,0.886,7,-3.344,0,0.0341,0.759,0.000202,0.158,0.898,95.496,4
spotify:track:1jsDgD54r0uLFjUSGWlmjL,"El Paquete","Mensajeros de Dios","Barbaro Fines y su Mayimbe",2013,379245,45,false,,2026-01-19T19:42:58Z,"timba,salsa","Barbaro Fines Fortes",0.472,0.797,8,-6.729,1,0.0454,0.298,0,0.124,0.928,90.851,4
spotify:track:3ssyED50WJpisKCW7n6rND,"Turn The Lights Off","Discolized 2.0","Kato;Jon",2011-04-04,176986,67,false,,2026-01-10T05:48:37Z,"dansk pop","disco:wax",0.623,0.975,1,-3.426,0,0.0347,0.00159,0.000153,0.321,0.34,132.006,4
spotify:track:0cJQ4iSRPW8gSk4xC5vZxs,"Asere Como Tu Me Gustas","Asere Como Tu Me Gustas","Dany Ome;Kevincito El 13;Gatillo",2024-11-11,203144,53,false,,2025-11-18T20:30:28Z,"timba","DKG Record",0.713,0.752,9,-6.004,1,0.0898,0.101,0,0.0786,0.683,166.07,4
spotify:track:4CpbsZqwBgeDOuy8EENJGd,"Love at First Sight","Fever (Deluxe Edition)","Kylie Minogue",2001-10-01,238266,27,false,,2025-10-07T00:11:56Z,"dance pop","Parlophone UK",0.603,0.774,3,-6.066,0,0.0428,0.0288,0.051,0.0533,0.48,124.994,4
