Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6PQ88X9TkUIAUIZJHW2upE,"Bad Habits","Bad Habits","Ed Sheeran",2021-06-25,231041,8,false,vane_sarahi,2022-03-26T23:33:50Z,"soft pop","Atlantic Records UK",0.808,0.897,11,-3.712,0,0.0348,0.0469,0.0000314,0.364,0.591,126.026,4
spotify:track:6XDF4S6nNys3NuRMYHx5z1,"Mañana","Mañana","Mr. Don;DJ Khalid",2022-02-25,172847,0,false,vane_sarahi,2022-03-26T23:34:07Z,"bachata,kizomba","EQS Musica",0.752,0.747,7,-6.209,0,0.0353,0.222,0.00000185,0.169,0.714,107.001,4
spotify:track:23R68uWGdp07SwQdK8mWzI,"Antes de Ti","Antes de Ti","Rusherking;Maria Becerra",2021-10-07,207187,0,false,vane_sarahi,2022-03-26T23:34:14Z,"argentine trap,cuarteto","Fifty One",0.845,0.612,11,-3.805,0,0.0426,0.125,0,0.0671,0.771,127.958,4
spotify:track:5xiAfKzE3mbxYbOkUZPR11,"Ateo","Ateo","C. Tangana;NATHY PELUSO",2021-10-07,239925,59,false,vane_sarahi,2022-03-26T23:34:19Z,"","Sony Music Entertainment",0.826,0.74,1,-4.45,0,0.0368,0.142,0.0000259,0.175,0.733,130.025,4
spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,"MAMIII","MAMIII","Becky G;KAROL G",2022-02-10,226088,69,false,vane_sarahi,2022-03-26T23:34:24Z,"reggaeton,latin,urbano latino","Kemosabe Records/RCA Records",0.843,0.7,4,-3.563,0,0.0803,0.0934,0,0.14,0.899,93.991,4
spotify:track:4ZtFanR9U6ndgddUvNcjcG,"good 4 u","SOUR","Olivia Rodrigo",2021-05-21,178146,83,true,vane_sarahi,2022-03-26T23:34:29Z,"","Olivia Rodrigo PS",0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,4
spotify:track:46GsFW8AFIvi8TUDlYRlXR,"Te Espero - feat. Maria Becerra","Te Espero (feat. Maria Becerra)","Prince Royce;Maria Becerra",2022-03-03,246850,59,false,vane_sarahi,2022-03-26T23:34:35Z,"bachata,latin,argentine trap","Sony Music Latin",0.733,0.689,10,-5.083,0,0.0307,0.345,0,0.0429,0.828,126.943,4
spotify:track:3gOA6FyQJHRiNweLRs6Gv9,"Todo De Ti - Bachata Version","Todo De Ti (Bachata Version)","Dj Nassos B;Khris Joe",2021-06-17,193541,36,false,vane_sarahi,2022-03-26T23:35:01Z,"bachata","Sony Music Latin",0.726,0.742,3,-5.224,0,0.0319,0.576,0.0000298,0.119,0.803,120.036,4
spotify:track:4fSIb4hdOQ151TILNsSEaF,"Todo De Ti","Todo De Ti","Rauw Alejandro",2021-05-20,199604,72,true,vane_sarahi,2022-03-26T23:35:05Z,"reggaeton,trap latino,urbano latino,latin","Sony Music Latin/Duars Entertainment",0.78,0.718,3,-3.605,0,0.0506,0.31,0.000163,0.0932,0.342,127.949,4
spotify:track:5uBlr2RNpuu3n7ROgiQa7w,"dramatic","dramatic","Cat & Calmell",2021-01-13,150200,48,false,vane_sarahi,2022-03-26T23:35:10Z,"","EMI Recorded Music Australia Pty Ltd",0.77,0.519,2,-8.482,1,0.0602,0.332,0.0000777,0.103,0.571,127.991,4
spotify:track:0A2g7e4FUHJ5YJq83uyLRF,"Hookah & Sheridan's (Bachata Version)","Hookah & Sheridan's (Bachata Version)","DJ Khalid;Mr. Don",2019-02-22,207272,0,false,vane_sarahi,2022-03-26T23:35:18Z,"bachata,kizomba","Dj Khalid x Mr.Don",0.813,0.638,8,-7.158,0,0.0322,0.259,0,0.295,0.598,110.039,4
spotify:track:3e9V8vS2oviXYWtj09DkJP,"Final Feliz","SIE7E +","Danna Paola",2020-02-07,184760,48,false,vane_sarahi,2022-03-26T23:35:32Z,"","Universal Music Mexico",0.705,0.784,11,-5.641,0,0.0418,0.0867,0.00000483,0.335,0.691,92.992,4
spotify:track:5S4rNAIyjLyUVdrGWy48Ub,"Cachito","Cachito","Danna Paola;Mau y Ricky",2021-11-05,188546,46,false,vane_sarahi,2022-03-26T23:35:36Z,"latin pop,reggaeton,pop urbano","Universal Music Mexico",0.675,0.751,6,-3.676,0,0.0705,0.159,0,0.105,0.64,80.019,4
spotify:track:1g4cZvi0nLeeIycd0Rkljj,"La Niña de la Escuela","La Niña","Lola Indigo;TINI;Belinda",2021-07-01,204414,63,false,vane_sarahi,2022-03-26T23:35:45Z,"latin pop","Universal Music Spain S.L.",0.707,0.876,1,-1.887,1,0.0787,0.173,0.00000936,0.932,0.853,176.068,4
spotify:track:6BLLoHOQqY3rOpMoaO6yHv,"Danca Kizomba","Danca Kizomba","Stony",2013-04-26,229213,50,false,vane_sarahi,2022-03-26T23:36:05Z,"zouk,kizomba,kompa,shatta","B.M Music",0.686,0.915,6,-4.45,1,0.305,0.0344,0.000465,0.0784,0.406,177.919,4
spotify:track:6vECYJHxYmm3Ydt3fF01pE,"Stolen Dance","Sadnecessary","Milky Chance",2014-06-20,313684,3,false,vane_sarahi,2022-03-26T23:36:22Z,"","Neon",0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,4
